n_filled_orders,time_s,n_samples,mean_cost,std_cost,q05_cost,q25_cost,median_cost,q75_cost,q95_cost
0,0.0,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.004,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.006,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.008,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.01,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.012,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.014,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.016,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.018000000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.02,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.022,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.024,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.026000000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.028,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.03,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.032,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.034,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.036000000000000004,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.038,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.04,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.042,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.044,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.046,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.048,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.05,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.052000000000000005,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.054,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.056,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.058,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.06,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.062,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.064,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.066,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.068,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.07,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.07200000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.074,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.076,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.078,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.08,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.082,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.084,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.08600000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.088,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.09,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.092,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.094,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.096,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.098,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.1,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.10200000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.10400000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.106,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.108,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.11,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.112,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.114,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.116,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.11800000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.12,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.122,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.124,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.126,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.128,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.13,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.132,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.134,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.136,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.138,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.14,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.14200000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.14400000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.146,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.148,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.15,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.152,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.154,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.156,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.158,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.16,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.162,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.164,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.166,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.168,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.17,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.17200000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.17400000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.176,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.178,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.18,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.182,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.184,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.186,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.188,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.19,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.192,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.194,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.196,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.198,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.2,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.202,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.20400000000000001,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.20600000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.20800000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.21,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.212,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.214,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.216,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.218,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.22,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.222,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.224,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.226,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.228,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.23,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.232,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.234,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.23600000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
0,0.23800000000000002,1,0.0,,0.0,0.0,0.0,0.0,0.0
